@relation 'D:\\matlab workspace\\a =2- .libsvm'

@attribute x^1 numeric
@attribute x^2 numeric
@attribute x^3 numeric
@attribute x^4 numeric
@attribute x^5 numeric
@attribute x^6 numeric
@attribute x^7 numeric
@attribute x^8 numeric
@attribute x^9 numeric
@attribute class numeric

@data
{0 -0.441593,1 0.195004,2 -0.086112,3 0.038027,4 -0.016792,5 0.007415,6 -0.003275,7 0.001446,8 -0.000639,9 1.882401}
{0 -0.341593,1 0.116686,2 -0.039859,3 0.013616,4 -0.004651,5 0.001589,6 -0.000543,7 0.000185,8 -0.000063,9 0.194849}
{0 -0.241593,1 0.058367,2 -0.014101,3 0.003407,4 -0.000823,5 0.000199,6 -0.000048,7 0.000012,8 -0.000003,9 0.420435}
{0 -0.141593,1 0.020048,2 -0.002839,3 0.000402,4 -0.000057,5 0.000008,6 -0.000001,7 0,8 0,9 -2.601058}
{0 -0.041593,1 0.00173,2 -0.000072,3 0.000003,4 0,5 0,6 0,9 -1.232414}
{0 0.058407,1 0.003411,2 0.000199,3 0.000012,4 0.000001,5 0,6 0,7 0,9 0.386783}
{0 0.158407,1 0.025093,2 0.003975,3 0.00063,4 0.0001,5 0.000016,6 0.000003,7 0,8 0,9 -1.373211}
{0 0.258407,1 0.066774,2 0.017255,3 0.004459,4 0.001152,5 0.000298,6 0.000077,7 0.00002,8 0.000005,9 1.886902}
{0 0.358407,1 0.128456,2 0.04604,3 0.016501,4 0.005914,5 0.00212,6 0.00076,7 0.000272,8 0.000098,9 -0.91996}
{0 0.458407,1 0.210137,2 0.096328,3 0.044158,4 0.020242,5 0.009279,6 0.004254,7 0.00195,8 0.000894,9 -1.134772}
{0 0.558407,1 0.311819,2 0.174122,3 0.097231,4 0.054294,5 0.030318,6 0.01693,7 0.009454,8 0.005279,9 1.464308}
{0 0.658407,1 0.4335,2 0.28542,3 0.187922,4 0.12373,5 0.081464,6 0.053637,7 0.035315,8 0.023252,9 -1.179452}
{0 0.758407,1 0.575182,2 0.436222,3 0.330834,4 0.250907,5 0.19029,6 0.144317,7 0.109451,8 0.083009,9 2.627281}
{0 0.858407,1 0.736863,2 0.632529,3 0.542967,4 0.466087,5 0.400093,6 0.343442,7 0.294814,8 0.25307,9 -2.270875}
{0 0.958407,1 0.918545,2 0.88034,3 0.843724,4 0.808632,5 0.774998,6 0.742764,7 0.711871,8 0.682262,9 -0.647041}
{0 1.058407,1 1.120226,2 1.185656,3 1.254907,4 1.328202,5 1.405779,6 1.487887,7 1.57479,8 1.66677,9 4.940365}
{0 1.158407,1 1.341908,2 1.554476,3 1.800716,4 2.085963,5 2.416394,6 2.799169,7 3.242578,8 3.756226,9 -0.782452}
{0 1.258407,1 1.583589,2 1.9928,3 2.507754,4 3.155776,5 3.971252,6 4.997453,7 6.288832,8 7.913912,9 0.018547}
{0 1.358407,1 1.845271,2 2.506629,3 3.405023,4 4.625409,5 6.283189,6 8.53513,7 11.594184,8 15.749624,9 1.53314}
{0 1.458407,1 2.126952,2 3.101962,3 4.523925,4 6.597725,5 9.622171,6 14.033045,7 20.465895,8 29.847612,9 1.705956}
{0 1.558407,1 2.428633,2 3.7848,3 5.89826,4 9.191892,5 14.324713,6 22.323738,7 34.789477,8 54.216176,9 6.85706}
{0 1.658407,1 2.750315,2 4.561142,3 7.564232,4 12.544578,5 20.804021,6 34.501541,7 57.217609,8 94.890103,9 3.795645}
{0 1.758407,1 3.091996,2 5.436989,3 9.560442,4 16.811151,5 29.560851,6 51.980018,7 91.402046,8 160.722029,9 -0.031545}
{0 1.858407,1 3.453678,2 6.41834,3 11.927891,4 22.16688,5 41.195092,6 76.557262,7 142.274579,8 264.404123,9 2.28763}
{0 1.958407,1 3.835359,2 7.511196,3 14.709981,4 28.808135,5 56.418064,6 110.489551,7 216.383548,8 423.767129,9 3.768562}
{0 2.058407,1 4.237041,2 8.721556,3 17.952515,4 36.953588,5 76.065538,6 156.573861,7 322.292787,8 663.40984,9 0.78494}
{0 2.158407,1 4.658722,2 10.05542,3 21.703693,4 46.845411,5 101.111479,6 218.239759,7 471.050299,8 1016.718426,9 -4.023766}
{0 2.258407,1 5.100404,2 11.518789,3 26.014118,4 58.750476,5 132.682507,6 299.651147,7 676.734353,8 1528.341834,9 0.158648}
{0 2.358407,1 5.562085,2 13.117663,3 30.936792,4 72.961557,5 172.073073,6 405.818399,7 957.085093,8 2257.196515,9 -1.892623}
{0 2.458407,1 6.043767,2 14.85804,3 36.527116,4 89.79853,5 220.761365,6 542.721361,7 1334.230181,8 3280.081278,9 1.800734}
{0 2.558407,1 6.545448,2 16.745923,3 42.842891,4 109.609568,5 280.425925,6 717.443746,7 1835.513351,8 4695.990841,9 0.333862}
{0 2.658407,1 7.06713,2 18.787309,3 49.944321,4 132.77235,5 352.962991,6 938.319407,7 2494.435206,8 6631.224877,9 2.562619}
{0 2.758407,1 7.608811,2 20.9882,3 57.894006,4 159.695252,5 440.504556,6 1215.091004,7 3351.715952,8 9245.397905,9 -1.655518}
{0 2.858407,1 8.170493,2 23.354596,3 66.756949,4 190.818552,5 545.437152,6 1559.081562,7 4456.490192,8 12738.464303,9 2.586343}
{0 2.958407,1 8.752174,2 25.892496,3 76.60055,4 226.61563,5 670.421346,6 1983.379435,7 5867.644292,8 17358.881978,9 -2.142193}
{0 3.058407,1 9.353855,2 28.6079,3 87.494613,4 267.594166,5 818.411963,6 2503.037161,7 7655.307243,8 23413.047911,9 3.109081}
